Online Operation Coordinator (Stationed in Zhuhai),Others - China,https://hk.jobsdb.com/hk/en/job/online-operation-coordinator-100003006011980,Degree,Entry Level,Salary provided
Account Executive / Manager [IT products and solution / B2B Sales],Location not specified,https://hk.jobsdb.com/hk/en/job/account-executive-manager-100003006011976,Non-Degree Tertiary,Middle level,Base salary + high commission
"Telemarketing Advisor (Life Insurance, sales/service 15-25k)",Location not specified,https://hk.jobsdb.com/hk/en/job/telemarketing-advisor-100003006011973,Degree,Middle level,"HK$17,000 - 20,000 /month (includes high commission)"
客戶服務主任/營業主任 (Customer Service Officer),Causeway Bay,https://hk.jobsdb.com/hk/en/job/%e5%ae%a2%e6%88%b6%e6%9c%8d%e5%8b%99%e4%b8%bb%e4%bb%bb-%e7%87%9f%e6%a5%ad%e4%b8%bb%e4%bb%bb-100003006011971,null,Entry Level,Base salary + high commission
Customer Service Supervisor / 愉景灣* (區外車津$10-$30) - 客戶服務主管9小時 - $16500-$17500,Location not specified,https://hk.jobsdb.com/hk/en/job/customer-service-supervisor-%e6%84%89%e6%99%af%e7%81%a3-%e5%ae%a2%e6%88%b6%e6%9c%8d%e5%8b%99%e4%b8%bb%e7%ae%a19%e5%b0%8f%e6%99%82-100003006011969,null,Full Time,Salary provided
Management Trainee/ Wealth Management Manager (Local/Overseas/IANG Fresh Graduate Program),Quarry Bay,https://hk.jobsdb.com/hk/en/job/management-trainee-wealth-management-manager-100003006011960,Degree,Entry Level,"HK$25,000 - 35,000 /month"
Sales Admin Coordinator,Wan Chai Area,https://hk.jobsdb.com/hk/en/job/sales-admin-coordinator-100003006009108,Matriculated,Entry Level,Salary provided
Customer Service Associate / 客戶服務助理,Kwun Tong,https://hk.jobsdb.com/hk/en/job/customer-service-associate-%e5%ae%a2%e6%88%b6%e6%9c%8d%e5%8b%99%e5%8a%a9%e7%90%86-100003006011957,Primary,Full Time,Salary provided
Customer Service Officer,Kwun Tong,https://hk.jobsdb.com/hk/en/job/customer-service-officer-100003006011954,Non-Degree Tertiary,Entry Level,null
"Assistant Manager, Pension Sales & Distribution",Kwun Tong,https://hk.jobsdb.com/hk/en/job/assistant-manager-pension-sales-distribution-100003006011955,Degree,Middle,null
