Account Trainee,Cheung Sha Wan,https://hk.jobsdb.com/hk/en/job/account-trainee-100003006012036,School Certificate,Salary provided
Part-time Professional Accountancy Trainer,Wan Chai,https://hk.jobsdb.com/hk/en/job/part-time-professional-accountancy-trainer-100003006012037,(N/A),Salary provided
Management Trainee Program 2018,Sheung Wan,https://hk.jobsdb.com/hk/en/job/management-trainee-program-100003006012034,Degree,"HK$11,000 - 14,000 /month"
"Financial Analyst (Regional analysis, Big 4 only! $35-45K)",Location not specified,https://hk.jobsdb.com/hk/en/job/financial-analyst-100003006012021,Degree,Salary provided
Junior - Accounting & Business Advisory Services,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/junior-accounting-business-advisory-services-100003006012015,Postgraduate,Salary negotiable
Financial Controller/Senior Accountant,Central & Western Area,https://hk.jobsdb.com/hk/en/job/financial-controller-senior-accountant-100003006011988,Degree,Salary negotiable
Accounting Clerk,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006011998,null,Salary provided
Accounting Clerk,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006011997,null,Salary provided
Internal Audit Assistant,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/internal-audit-assistant-100003006011985,Degree,Salary provided
Assistant Accounting Manager / Senior Accountant (Stationed in Zhuhai),Others - China,https://hk.jobsdb.com/hk/en/job/assistant-accounting-manager-senior-accountant-100003006011977,Degree,Salary provided
Finance Manager (Frequent Travel),Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/finance-manager-100003006011978,Degree,Salary provided
會計及行政文員(Accounts Clerk),Causeway Bay,https://hk.jobsdb.com/hk/en/job/%e6%9c%83%e8%a8%88%e5%8f%8a%e8%a1%8c%e6%94%bf%e6%96%87%e5%93%a1-100003006011972,null,Salary provided
Accounts Clerk,Hung Hom,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006011966,Non-Degree Tertiary,Salary provided
"Assistant Finance Manager - Internal Control, Big 4 Welcome",Location not specified,https://hk.jobsdb.com/hk/en/job/assistant-finance-manager-internal-control-big-4-welcome-100003006011964,Degree,Salary provided
"Supervisor, Fund Accounting and Valuation",Kwun Tong,https://hk.jobsdb.com/hk/en/job/supervisor-fund-accounting-and-valuation-100003006011951,Degree,null
"Supervisor, Fund Accounting and Valuation (1 Year Contract)",Kwun Tong,https://hk.jobsdb.com/hk/en/job/supervisor-fund-accounting-and-valuation-100003006011952,Degree,null
Associate – Audit & Assurance,Wan Chai,https://hk.jobsdb.com/hk/en/job/associate-audit-assurance-100003006011933,Non-Degree Tertiary,Salary negotiable
Junior Accounts Clerk,Wan Chai,https://hk.jobsdb.com/hk/en/job/junior-accounts-clerk-100003006011889,School Certificate,Salary provided
Finance Manager,North Point,https://hk.jobsdb.com/hk/en/job/finance-manager-100003006011866,Degree,Salary provided
Auditor / Audit Junior,Central,https://hk.jobsdb.com/hk/en/job/auditor-audit-junior-100003006011822,Degree,null
Financial Planner (Welcome to Fresh graduates and IANGs),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/financial-planner-100003006011816,Degree,Base salary + high commission
Accounting Clerk,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006011807,null,Salary negotiable
Accounting Officer/Assistant Accountant (Ref:20180324ma),Sai Ying Pun,https://hk.jobsdb.com/hk/en/job/accounting-officer-assistant-accountant-100003006011763,Non-Degree Tertiary,Salary provided
Audit Junior / Senior,Wan Chai,https://hk.jobsdb.com/hk/en/job/audit-junior-senior-100003006011798,null,Salary negotiable
Accounts Clerk,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006011792,null,Salary negotiable
Accounts Clerk,Ngau Tau Kok,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006011786,School Certificate,Salary negotiable
Investment Analyst,Quarry Bay,https://hk.jobsdb.com/hk/en/job/investment-analyst-100003006011785,Degree,Base salary + high commission
ACCOUNTS CLERK (5-DAY WEEK),Wan Chai,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006011772,null,Salary provided
Accounting Manager/Assistant Accountant,Central & Western Area,https://hk.jobsdb.com/hk/en/job/accounting-manager-assistant-accountant-100003006011765,Non-Degree Tertiary,Salary negotiable
Accountant / Assistant Accountant,Kwai Tsing Area,https://hk.jobsdb.com/hk/en/job/accountant-assistant-accountant-100003006011764,Postgraduate,Salary negotiable
"Assistant Finance Manager, Station at Macau (HKD 35-40k)",Others - Macau,https://hk.jobsdb.com/hk/en/job/assistant-finance-manager-station-at-macau-100003006011738,null,"HK$35,000 - 45,000 /month (negotiable)"
Accountant,Others - China,https://hk.jobsdb.com/hk/en/job/accountant-100003006011734,Degree,Salary provided
Account Clerk,Others,https://hk.jobsdb.com/hk/en/job/account-clerk-100003006011724,null,Salary negotiable
Senior Accountant,Kwai Fong,https://hk.jobsdb.com/hk/en/job/senior-accountant-100003006001324,Degree,Salary negotiable
General Clerk 文員,Chai Wan,https://hk.jobsdb.com/hk/en/job/general-clerk-%e6%96%87%e5%93%a1-100003006011699,School Certificate,"HK$11,000 - 14,000 /month (negotiable)"
Accounting Clerk,Central,https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006011696,Non-Degree Tertiary,Salary provided
ACCOUNTANT – Client Accounts Department,Central,https://hk.jobsdb.com/hk/en/job/accountant-client-accounts-department-100003006011697,Degree,Salary provided
總帳會計員,Kwun Tong,https://hk.jobsdb.com/hk/en/job/%e7%b8%bd%e5%b8%b3%e6%9c%83%e8%a8%88%e5%93%a1-100003006011683,null,Salary negotiable
會計文員 Accounts Clerk,Kwai Tsing Area,https://hk.jobsdb.com/hk/en/job/%e6%9c%83%e8%a8%88%e6%96%87%e5%93%a1-accounts-clerk-100003006011681,School Certificate,Salary negotiable
Accounts Clerk / Administrative Clerk,Wan Chai,https://hk.jobsdb.com/hk/en/job/accounts-clerk-administrative-clerk-100003006011664,Non-Degree Tertiary,Salary provided
SENIOR ACCOUNTANT (Global Fashion Retailer) 35K,Location not specified,https://hk.jobsdb.com/hk/en/job/senior-accountant-100003006011655,Degree,Salary provided
Accountant,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/accountant-100003006011636,Degree,Salary negotiable
Accounts Clerk,Others,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006011605,School Certificate,Salary negotiable
Assistant Chief Accountant / Accounting Manager,Kwun Tong,https://hk.jobsdb.com/hk/en/job/assistant-chief-accountant-accounting-manager-100003006011603,Degree,Salary provided
