Receptionist (Part-Time),Kwai Fong,https://hk.jobsdb.com/hk/en/job/receptionist-100003006012057,School Certificate,Salary provided
Legal Secretary,Central,https://hk.jobsdb.com/hk/en/job/legal-secretary-100003006012041,Non-Degree Tertiary,"HK$30,000 - 45,000 /month (negotiable)"
行政文員 Clerk,Fanling,https://hk.jobsdb.com/hk/en/job/%e8%a1%8c%e6%94%bf%e6%96%87%e5%93%a1-clerk-100003006012033,School Certificate,Salary negotiable
"Part-time HR Specialist (flexible hours, can be half day)",Kwai Fong,https://hk.jobsdb.com/hk/en/job/part-time-hr-specialist-100003006012023,(N/A),Salary provided
Club Officer,Fanling,https://hk.jobsdb.com/hk/en/job/club-officer-100003006012020,Non-Degree Tertiary,Salary negotiable
Administrator / Executive Assistant / Project Officer (5 day),Location not specified,https://hk.jobsdb.com/hk/en/job/administrator-executive-assistant-project-officer-100003006012004,Degree,Salary provided
Management Trainee Program 2018  (Graduate),Central & Western Area,https://hk.jobsdb.com/hk/en/job/management-trainee-program-100003006011999,Degree,"HK$14,000 - 20,000 /month (includes high commission)"
Sales Administration Coordinator,Quarry Bay,https://hk.jobsdb.com/hk/en/job/sales-administration-coordinator-100003006011986,Degree,Salary negotiable
Learning & Development Officer,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/learning-development-officer-100003006011979,Degree,Salary provided
客戶服務主任/營業主任 (Customer Service Officer),Causeway Bay,https://hk.jobsdb.com/hk/en/job/%e5%ae%a2%e6%88%b6%e6%9c%8d%e5%8b%99%e4%b8%bb%e4%bb%bb-%e7%87%9f%e6%a5%ad%e4%b8%bb%e4%bb%bb-100003006011971,null,Base salary + high commission
會計及行政文員(Accounts Clerk),Causeway Bay,https://hk.jobsdb.com/hk/en/job/%e6%9c%83%e8%a8%88%e5%8f%8a%e8%a1%8c%e6%94%bf%e6%96%87%e5%93%a1-100003006011972,null,Salary provided
Accounts Clerk,Hung Hom,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006011966,Non-Degree Tertiary,Salary provided
Personal Assistant / Customer Service (IANG Welcomed / 國內來港人士 ),Quarry Bay,https://hk.jobsdb.com/hk/en/job/personal-assistant-customer-service-100003006011963,Degree,Salary negotiable
Sales Admin Coordinator,Wan Chai Area,https://hk.jobsdb.com/hk/en/job/sales-admin-coordinator-100003006009108,Matriculated,Salary provided
Administration Clerk X2 / Receptionist X1,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/administration-clerk-receptionist-100003006011840,Non-Degree Tertiary,Salary provided
Junior Secretary,Quarry Bay,https://hk.jobsdb.com/hk/en/job/junior-secretary-100003006011938,Postgraduate,Salary provided
Assistant Project Administrator (Fitting Out),Kwun Tong Area,https://hk.jobsdb.com/hk/en/job/assistant-project-administrator-100003006011937,Non-Degree Tertiary,Salary negotiable
Customer Services Officer / 經理助理,Wan Chai,https://hk.jobsdb.com/hk/en/job/customer-services-officer-%e7%b6%93%e7%90%86%e5%8a%a9%e7%90%86-100003006011932,School Certificate,Salary provided
HR Manager,Causeway Bay,https://hk.jobsdb.com/hk/en/job/hr-manager-100003006011931,Degree,Salary negotiable
Storekeeper/ Stock keeper / 倉務員/理貨員,Sheung Shui,https://hk.jobsdb.com/hk/en/job/storekeeper-stock-keeper-%e5%80%89%e5%8b%99%e5%93%a1-%e7%90%86%e8%b2%a8%e5%93%a1-100003006011928,null,Salary provided
Administrative Assistant,Ngau Tau Kok,https://hk.jobsdb.com/hk/en/job/administrative-assistant-100003006011913,Non-Degree Tertiary,Salary provided
